OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324500"",""NNH20ZDA001N-MAP"")",ROSES 2020: Modeling Analysis and Prediction,NASA-HQ,NASA Headquarters,,,"David B. Considine
Earth Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: 202-358-2277
Email: david.b.considine@nasa.gov",,david.b.considine@nasa.gov,,,02/14/2020,06/30/2020,02/14/2020 10:00:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324496"",""HHS-2020-IHS-SUPTA-0001"")","Substance Abuse and Suicide Prevention Program: Substance Use Prevention, Treatment, and Aftercare",HHS-IHS,Indian Health Service,,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 09:58:14,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324488"",""HHS-2020-IHS-TSGN-0001"")",Office of Tribal Self-Governance Negotiation Cooperative Agreement,HHS-IHS,Indian Health Service,,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 10:12:14,Forecast 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324482"",""HHS-2020-IHS-SPIP-0001"")","Substance Abuse and Suicide Prevention Program: Suicide Prevention, Intervention, and Postvention",HHS-IHS,Indian Health Service,14000000,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 09:43:14,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324506"",""NNH20ZDA001N-ESUSPI"")",ROSES 2020: Earth Science U.S. Participating Investigator,NASA-HQ,NASA Headquarters,,,"Richard S. Eckman
Earth Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: 202-358-2567
Email: Richard.S.Eckman@nasa.gov",,Richard.S.Eckman@nasa.gov,,,02/14/2020,07/16/2020,02/14/2020 10:14:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324514"",""NNH20ZDA001N-UACO"")",ROSES 2020: Atmospheric Composition: Upper Atmospheric Composition Observations,NASA-HQ,NASA Headquarters,,,"Kenneth W. Jucks
Earth Science Division
Science Mission Directorate
National Aeronautics and Space
Administration
Washington, DC 20546-0001
Telephone: (202) 358-0476
Email: Kenneth.W.Jucks@nasa.gov",,Kenneth.W.Jucks@nasa.gov,,,02/14/2020,09/17/2020,02/14/2020 10:30:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324491"",""NNH20ZDA001N-ACLS"")",ROSES 2020: Atmospheric Composition: Laboratory Research,NASA-HQ,NASA Headquarters,,,"Kenneth W. Jucks
Upper Atmosphere Research Program
Earth Science Division
Science Mission Directorate
National Aeronautics and Space Administration
Washington, DC 20546-0001
Telephone: (202) 358-0476
Email: Kenneth.W.Jucks@nasa.gov",,Kenneth.W.Jucks@nasa.gov,,,02/14/2020,08/13/2020,02/14/2020 10:19:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324513"",""NNH20ZDA001N-HLCAS"")",ROSES 2020: Heliophysics Low Cost Access to Space,NASA-HQ,NASA Headquarters,,,"Dan Moses
Heliophysics Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-0558
Email: dan.moses@nasa.gov",,dan.moses@nasa.gov,,,02/14/2020,08/26/2020,02/14/2020 10:26:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324525"",""HHS-2021-IHS-SDPI-0001"")",Special Diabetes Program for Indians,HHS-IHS,Indian Health Service,,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 11:30:14,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324542"",""NNH20ZDA001N-RRNES"")",ROSES 2020: Rapid Response and Novel Research in Earth Science,NASA-HQ,NASA Headquarters,,,"Laura Lorenzoni
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-0917
Email: laura.lorenzoni@nasa.gov",,laura.lorenzoni@nasa.gov,,,02/14/2020,03/29/2021,02/14/2020 11:30:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324537"",""NNH20ZDA001N-HW"")",ROSES 2020: Habitable Worlds,NASA-HQ,NASA Headquarters,,,"Mary Voytek
Planetary Science Division
NASA Headquarters
Washington, DC 20546
Telephone: (202) 358-1577
Email: mary.voytek-1@nasa.gov",,mary.voytek-1@nasa.gov,,,02/14/2020,11/17/2020,02/14/2020 11:18:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324520"",""HHS-2021-IHS-ZSI-0001"")",Zero Suicide Initiative,HHS-IHS,Indian Health Service,,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 11:18:14,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324534"",""NNH20ZDA001N-PICASSO"")",ROSES 2020: Planetary Instrument Concepts for the Advancement of Solar System Observations,NASA-HQ,NASA Headquarters,,,"Stephen Rinehart
Planetary Science Division
Science Mission Directorate
National Aeronautics and Space Administration
Washington DC 20526-0001
Telephone: 202-358-1884
Email: Stephen.A.Rinehart@nasa.gov",,Stephen.A.Rinehart@nasa.gov,,,02/14/2020,09/18/2020,02/14/2020 11:11:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324524"",""NNH20ZDA001N-SSW"")",ROSES 2020: Solar System Workings,NASA-HQ,NASA Headquarters,,,"Email to hq-ssw@mail.nasa.gov is strongly
preferred.
Delia Santiago-Materese
Email: delia.santiago-materese@nasa.gov
Adrian Brown
Email: adrian.j.brown@nasa.gov
Lucas Paganini
Email: lucas.paganini@nasa.gov
Henry Throop
Email: henry.throop@nasa.gov
Shoshana Weider
Email: shoshana.weider@nasa.gov",,hq-ssw@mail.nasa.gov,,,02/14/2020,01/29/2021,02/14/2020 11:20:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324540"",""NNH20ZDA001N-LDAP"")",ROSES 2020: Lunar Data Analysis,NASA-HQ,NASA Headquarters,,,"Shoshana Weider (Caucus lead)
Telephone: (202) 358-1667
Email: shoshana.z.weider@nasa.gov
Sarah Noble
Telephone: (202) 358-2492
Email: sarah.noble-1@nasa.gov",,shoshana.z.weider@nasa.gov,,,02/14/2020,12/01/2020,02/14/2020 11:25:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324539"",""NNH20ZDA001N-HSR"")",ROSES 2020: Heliophysics Supporting Research,NASA-HQ,NASA Headquarters,,,"Patrick Koehn
Heliophysics Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-3636
Email: patrick.koehn@nasa.gov",,patrick.koehn@nasa.gov,,,02/14/2020,11/18/2020,02/14/2020 11:22:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324535"",""NNH20ZDA001N-ECA"")",ROSES 2020: Planetary Science Early Career Award Program,NASA-HQ,NASA Headquarters,,,"Shoshana Weider
Planetary Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-1667
Email: shoshana.z.weider@nasa.gov",,shoshana.z.weider@nasa.gov,,,02/14/2020,12/01/2020,02/14/2020 11:13:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324533"",""NNH20ZDA001N-MDAP"")",ROSES 2020: Mars Data Analysis,NASA-HQ,NASA Headquarters,,,"Mitch Schulte
Telephone: (202) 358-2127
Email: mitchell.d.schulte@nasa.gov
Adrian Brown
Washington, DC 20546-0001
Email: adrian.j.brown@nasa.gov",,mitchell.d.schulte@nasa.gov,,,02/14/2020,09/25/2020,02/14/2020 11:09:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324476"",""HHS-2020-IHS-DVFH-0001"")",Domestic Violence Prevention Program: Forensic Healthcare Services,HHS-IHS,Indian Health Service,3400000,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 08:58:14,Forecast 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324475"",""HHS-2020-IHS-DVPP-0001"")",Domestic Violence Prevention Program,HHS-IHS,Indian Health Service,7400000,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 08:59:14,Forecast 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324466"",""HHS-2020-IHS-IPP-0001"")",Tribal Injury Prevention Cooperative Agreement Program,HHS-IHS,Indian Health Service,,,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 08:57:14,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324463"",""NNH20ZDA001N"")",ROSES 2020: Research Opportunities in Space and Earth Science - 2020,NASA-HQ,NASA Headquarters,,,"Dr. Max Bernstein
sara@nasa.gov",,sara@nasa.gov,,,02/14/2020,02/14/2021,02/14/2020 08:51:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324468"",""NNH20ZDA001N-EXO"")",ROSES 2020: Exobiology,NASA-HQ,NASA Headquarters,,,"Lindsay Hays
Planetary Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: 650-604-3668
Email: lindsay.hays@nasa.gov
Caucus email: HQ-EXO@mail.nasa.gov",,HQ-EXO@mail.nasa.gov,,,02/14/2020,05/22/2020,02/14/2020 09:02:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324461"",""HHS-2020-IHS-BH2I-0001"")",Behavioral Health Integration Initiative,HHS-IHS,Indian Health Service,6000000,15,"Paul E Gettys
Deputy Director, DGM",301-443-2114,paul.gettys@ihs.gov,,,02/14/2020,,02/14/2020 08:33:14,Forecast 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324489"",""NNH20ZDA001N-ECIP"")",ROSES 2020: Early Career Investigator Program,NASA-HQ,NASA Headquarters,,,"Katya Verner
Heliophysics Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: 202-358-1213
Email: Ekaterina.M.Verner@nasa.gov",,Ekaterina.M.Verner@nasa.gov,,,02/14/2020,05/27/2020,03/26/2020 10:17:26,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324467"",""NNH20ZDA001N-BIODIV"")",ROSES 2020: Biodiversity,NASA-HQ,NASA Headquarters,,,"Woody Turner
Earth Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-1662
Email: woody.turner@nasa.gov",,woody.turner@nasa.gov,,,02/14/2020,06/25/2020,03/27/2020 07:46:27,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324481"",""NNH20ZDA001N-XRP"")",ROSES 2020: Exoplanets Research,NASA-HQ,NASA Headquarters,,,"Richard Eckman
Earth Science Division
Telephone: (202) 358-2567
Email: richard.s.eckman@nasa.gov
Galen Fowler
Heliophysics Division
Telephone: (202) 358-0039
Email: galen.fowler@nasa.gov
Douglas Hudgins
Astrophysics Division
Telephone: (202) 358-0988
Email: douglas.m.hudgins@nasa.gov
Stephen Rinehart
Planetary Science Division
Telephone: (202) 358-1884
Email: stephen.a.rinehart@nasa.gov",,Douglas.M.Hudgins@nasa.gov,,,02/14/2020,05/29/2020,04/03/2020 08:22:03,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324465"",""NNH20ZDA001N-ADAP"")",ROSES 2020: Astrophysics Data Analysis,NASA-HQ,NASA Headquarters,,,"Douglas M. Hudgins
Astrophysics Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-0988
Email: Douglas.M.Hudgins@nasa.gov",,Douglas.M.Hudgins@nasa.gov,,,02/14/2020,06/30/2020,04/03/2020 13:05:03,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324469"",""NNH20ZDA001N-TCAN"")",ROSES 2020: Theoretical and Computational Astrophysics Networks,NASA-HQ,NASA Headquarters,,,"Evan Scannapieco
Astrophysics Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-3730
Email: HQ-ATP@mail.nasa.gov",,HQ-ATP@mail.nasa.gov,,,02/14/2020,06/23/2020,04/03/2020 13:06:03,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324563"",""CDC-RFA-CE20-2004"")",Drug-Free Communities (DFC) Support Program – Non-competing Continuation,HHS-CDC-NCIPC,Centers for Disease Control - NCIPC,125000,150,"Stephanie Latham
DFC@cdc.gov",,DFC@cdc.gov,,,02/14/2020,06/15/2020,04/15/2020 12:32:15,Synopsis 7,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324480"",""NNH20ZDA001N-HAQAST"")",ROSES 2020: Health and Air Quality Applied Sciences Team,NASA-HQ,NASA Headquarters,,,"John Haynes
Applied Sciences Program
Earth Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 358-4665
Email: jhaynes@nasa.gov",,jhaynes@nasa.gov,,,02/14/2020,06/30/2020,04/20/2020 08:05:20,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324484"",""NNH20ZDA001N-DALI"")",ROSES 2020: Development and Advancement of Lunar Instrumentation Program,NASA-HQ,NASA Headquarters,,,"Ryan Stephan
Planetary Science Division
Science Mission Directorate
National Aeronautics and Space Administration
Washington DC 20526-0001
Telephone: 832-289-5533
Email: Ryan.A.Stephan@nasa.gov",,Ryan.A.Stephan@nasa.gov,,,02/14/2020,06/12/2020,04/28/2020 12:10:28,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324493"",""NNH20ZDA001N-SSO"")",ROSES 2020: Solar System Observations,NASA-HQ,NASA Headquarters,,,"Doris Daou
Email: doris.daou@nasa.gov
Phone: (202) 358-1686
Kelly Fast
Email: kelly.e.fast@nasa.gov
Phone: (202) 358-0768",,doris.daou@nasa.gov,,,02/14/2020,06/10/2020,05/07/2020 07:21:07,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324459"",""PAS-JAKARTA-FY20-02"")",U.S. Embassy Jakarta PAS Annual Program Statement,DOS-IDN,U.S. Mission to Indonesia,600000,,"Jakarta PAS Grants
Grantor",622150831000,JakartaPASGrants@state.gov,,07/31/2020,02/14/2020,,05/04/2020 23:30:04,Forecast 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324483"",""NNH20ZDA001N-YORPD"")",ROSES 2020: Yearly Opportunities for Research in Planetary Defense,NASA-HQ,NASA Headquarters,,,"Kelly Fast
Email: kelly.e.fast@nasa.gov
Phone: (202) 358-0768
Lindley Johnson
Email: lindley.johnson@nasa.gov
Phone: (202) 358-2314",,kelly.e.fast@nasa.gov,,,02/14/2020,06/10/2020,05/04/2020 15:02:04,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324471"",""NNH20ZDA001N-EW"")",ROSES 2020: Emerging Worlds,NASA-HQ,NASA Headquarters,,,"Melissa Morris
Planetary Science Division
Science Mission Directorate
NASA Headquarters
Washington, DC 20546-0001
Telephone: (202) 774-8476
Email: HQ-EMERGINGWORLDS@mail.nasa.gov",,HQ-EMERGINGWORLDS@mail.nasa.gov,,,02/14/2020,06/01/2020,05/04/2020 14:52:04,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324486"",""NNH20ZDA001N-MATISSE"")",ROSES 2020: Maturation of Instruments for Solar System Exploration,NASA-HQ,NASA Headquarters,,,"Haris Riris
Planetary Science Division
Science Mission Directorate
National Aeronautics and Space Administration
Washington DC 20526-0001
Telephone: (301) 614-6736
Email: haris.riris-1@nasa.gov",,haris.riris-1@nasa.gov,,,02/14/2020,06/19/2020,05/08/2020 08:51:08,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324429"",""F20AS00054"")",North American Wetlands Conservation Act 2021-2 U.S. Standard Grants,DOI-FWS,Fish and Wildlife Service,50000000,50,"Stacy Sanchez 
U.S. Standard Coordinator
703-358-2017",,stacy_sanchez@fws.gov,,,02/13/2020,,02/13/2020 14:30:13,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324428"",""RFA-ES-20-004"")",Optimizing Natural Systems for Remediation: Utilizing Innovative Materials Science Approaches to Enhance Bioremediation (R01 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,2500000,10,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/13/2020,07/20/2020,04/14/2020 10:03:14,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324443"",""DE-FOA-0002288"")",GALVANIZING ADVANCES IN MARKET-ALIGNED FUSION FOR AN OVERABUNDANCE OF WATTS (GAMOW),DOE-ARPAE,Advanced Research Projects Agency Energy ,30000000,12,"ARPA-E-CO@HQ.DOE.GOV 
ARPA-E-CO@HQ.DOE.GOV",,ARPA-E-CO@HQ.DOE.GOV,,,02/13/2020,06/19/2020,05/05/2020 13:25:05,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324372"",""DOS-NGA-PD-ABV-FY20-004"")",Public Affairs Abuja Annual Program Statement,DOS-NGA,U.S. Mission to Nigeria,,,"Alena V Joseph
Grantor",,PASAbujaGrants@state.gov or LagosPASGrants@state.gov,,,02/12/2020,08/15/2020,02/12/2020 09:02:12,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324363"",""2020-NIST-MSE-01"")",Measurement Science and Engineering (MSE) Research Grant Programs,DOC-NIST,National Institute of Standards and Technology,,,"Leon Sampson
NOFO Coordinator
Phone 301-975-3086",,grants@nist.gov,,,02/12/2020,,02/18/2020 15:23:18,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324371"",""SOL-383-20-EG001"")",Sri Lanka Private Sector Development Activity,USAID-SRI,Sri Lanka USAID-Colombo,19000000,1,"Robert L Parnell
Contracting Officer",94112498028,rparnell@usaid.gov,03/09/2020,04/10/2020,02/12/2020,,02/19/2020 04:49:19,Forecast 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324369"",""PD-20-144Y"")",Foundational Research in Robotics,NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,02/12/2020,,05/12/2020 01:00:12,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324380"",""DE-FOA-0002293"")","Notice of Intent to Issue: Solid Oxide Fuel Cell (SOFC), Electrolyzer and Hybrid Technology Development",DOE-01,Headquarters,0,0,"Grant Officer Ryan J. Miller 202-287-1487
ryan.miller@hq.doe.gov",,ryan.miller@hq.doe.gov,,,02/11/2020,06/01/2020,02/11/2020 14:43:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324378"",""RFA-OD-20-012"")","Limited Competition: Informatics, Coordination and Service Center for the Mutant Mouse Resource and Research Centers (U42)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/11/2020,08/31/2020,02/11/2020 13:36:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=315882"",""HRSA-20-036"")",Telehealth Network Grant Program,HHS-HRSA,Health Resources and Services Administration,8700000,29,"Department of Health and Human Services, Health Resources and Services Administration
cmena@hrsa.gov",,cmena@hrsa.gov,,,02/11/2020,06/15/2020,03/24/2020 17:12:24,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324227"",""HRSA-20-023"")",Telehealth Focused Rural Health Research Center Program,HHS-HRSA,Health Resources and Services Administration,1900000,2,"Department of Health and Human Services, Health Resources and Services Administration
jburges@hrsa.gov",,jburges@hrsa.gov,,,02/11/2020,07/01/2020,03/24/2020 17:13:24,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324374"",""RFA-MD-20-006"")",Research Centers in Minority Institutions (RCMI) (U54)- Clinical Trials Optional,HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,02/11/2020,07/14/2020,04/14/2020 09:45:14,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324351"",""HHS-2020-ACL-AOD-AD-0430"")",Statewide Independent Living Council Training and Technical Assistance Center,HHS-ACL,Administration for Community Living,819915,1,Kimball Gray,(202) 795-7353,kimball.gray@acl.hhs.gov,04/22/2020,06/22/2020,02/10/2020,,02/10/2020 19:31:10,Forecast 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=323474"",""ASMARA-PD-2020"")","Public Diplomacy Grants for Asmara, Eritrea",DOS-ERI,U.S. Mission to Eritrea,10000,5,"William D Frost
Grantor
Phone 291120342",,frostwd@state.gov,,,02/10/2020,06/14/2020,02/12/2020 10:03:12,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=324343"",""HHS-2020-ACL-AOD-HAVA-0421"")",Help America Vote Act (HAVA) Training and Technical Assistance to the Protection & Advocacy Systems,HHS-ACL,Administration for Community Living,485640,2,Melvenia Wright,(202) 795-7472,Melvenia.Wright@acl.hhs.gov,05/01/2020,06/15/2020,02/10/2020,,02/10/2020 13:47:10,Forecast 1,
